id,name,display_name,lat,lon,restaurants_count,culture_count,gyms_count,shops_count,restaurants_examples,culture_examples,gyms_examples,shops_examples
15048390,North Hills East Neighborhood Council District,North Hills East,34.2326161,-118.4625011,40,0,1,147,Pizza Hut | McDonald's | Subway | Domino's | Panda Express,,Speakeasy Fitness,T-Mobile | La Poblanita | Sola's African Market | Silverio's Barber Shop | Agua Alkalina
15048391,North Hills West Neighborhood Council District,North Hills West,34.2351485,-118.4857186,11,0,0,21,Pizza Hut | Northern Thai Cuisine | Popeyes | Winchell's Donut House | Jack in the Box,,,All Profession | Puffers | LBI's Beauty Supply & Hair Salon | Sky Travel & Tours | A & J Cellular
15059477,Panorama City Neighborhood Council District,Panorama City,34.2286517,-118.4451755,33,0,2,49,Pizza Hut | McDonald's | Subway | Gorditas Durango Mexican Grill | GOTO@SILOG,,24 Hour Fitness,CVS Pharmacy | Lavanderia | Walmart Neighborhood Market | Dollar Tree | 99 Cents Only Stores
15059478,Mission Hills Neighborhood Council District,Mission Hills,34.2713002,-118.4529373,8,0,0,18,Winchell's Donut House | Little Caesars | Subway | Taco Bell | Carl's Jr.,,,Vallarta | dd's Discounts | Nova Storage | Bohan's Quick Lube & Auto Repair | Nissan of Mission Hills
15059522,Sylmar Neighborhood Council District,Sylmar,34.3083124,-118.4514186,9,1,0,3,Domino's | La Sabrosa | Little Caesars | Sylmar Donuts | Miche x God,Nethercutt Museum,,Stone's Market
15339539,Van Nuys Neighborhood Council District,Van Nuys,34.1907345,-118.4505332,30,0,1,43,"Restaurante Salvadoreño | Donut King | Little Caesars | Pupuseria ""El Paso Allegre"" | Yum Yum Donuts",,Crunch Fitness,Country General Store | Van Nuys Pawn Shop | Don Roberto's Jewelers | Liquor & Market | CrystalPlace Inc.
15339540,Lake Balboa Neighborhood Council District,Lake Balboa,34.1912118,-118.4931452,11,1,1,13,Best Ball | Popeyes | Springbok Bar & Grill | Denny's | La Corona Bar & Grill,,,SUNDANCE PAINTING COMPANY | Denise Johnson Originals | 99 Cents Only Stores | Shell | Food 4 Less
15339541,Reseda,Reseda,34.2037901,-118.5404374,48,0,0,37,A&W Seafood Restaurant | Vĩnh Lợi | Yoshinoya | Listo el Pollo | Subway,,,LA Tech Cell Phone Repair | Basnet Liquor | Gloria's | Bazár Deportivo Chris | Carrusel Bakery
15339542,Northridge South Neighborhood Council District,Northridge South,34.2221591,-118.5336501,25,0,0,39,Boba Truck Cafe | Big Mama's and Papa's Pizzeria | Subway | Chuck E. Cheese | Nathalia's Birrieria & Tacos,,,7-Eleven | Discoteca Gloria | Circle K | Prime Cuts Barbershop | Gary's Custom Optik Eyewear
15339543,Northridge East Neighborhood Council District,Northridge East,34.2568239,-118.5105726,17,1,1,12,Subway | Teriakiya | Good Pho You | The Pizza Cookery | Oh Grady's,Regency Theaters,,7-Eleven | 7-Eleven | Walgreens | Staples | 99 Cents Only Stores
15339544,Granada Hills South Neighborhood Council District,Granada Hills South,34.2641803,-118.5007291,14,1,2,25,Subway | Teriakiya | Good Pho You | The Pizza Cookery | Panera Bread,Regency Theaters,Planet Fitness,7-Eleven | Walgreens | Staples | 99 Cents Only Stores | Ralphs
15339545,Northridge West Neighborhood Council District,Northridge West,34.2535248,-118.5501567,8,0,1,4,Outback Steakhouse | The Coffee Bean & Tea Leaf | Kababe Grill | Village Tandoor North Indian Restaurant | Gen Korean BBQ,,Crunch Fitness,REI | Smart & Final Extra! | Galleria Market | Rydell Chevrolet
15339546,Granada Hills North Neighborhood Council District,Granada Hills North,34.3006103,-118.5073097,1,0,0,0,,,,
15899803,Arleta Neighborhood Council District,Arleta,34.243174,-118.429436,3,0,0,7,Raspado Xpress | Burger King | El Pollo Loco,,,7-Eleven | Food 4 Less | Circus Liquor | Target | Ross
