id,name,display_name,lat,lon,pt_stops_count,bike_infra_count,walkability_features_count,major_roads_count,pt_examples,bike_examples,walk_examples,roads_examples
15048390,North Hills East Neighborhood Council District,North Hills East,34.2326161,-118.4625011,59,61,1137,198,Nordhoff / Haskell | Plummer & Sepulveda | Plummer & Natick | Sepulveda & Plummer | Plummer & Natick,Nordhoff Street | Nordhoff Street | Nordhoff Street | Nordhoff Street | Nordhoff Street,,San Diego Freeway | Van Nuys Boulevard | Van Nuys Boulevard | San Diego Freeway | San Diego Freeway
15048391,North Hills West Neighborhood Council District,North Hills West,34.2351485,-118.4857186,46,21,486,108,Nordhoff/Woodley | Nordhoff/Woodley | Nordhoff/Hayvenhurst | Nordhoff/Hayvenhurst | Nordhoff/Petit,Woodley Avenue | Nordhoff Street | Woodley Avenue | Woodley Avenue | Woodley Avenue,,San Diego Freeway | San Diego Freeway | San Diego Freeway | San Diego Freeway | San Diego Freeway
15059477,Panorama City Neighborhood Council District,Panorama City,34.2286517,-118.4451755,71,62,550,156,Roscoe/Willis | Roscoe/Wakefield | Roscoe & Woodman | Woodman & Terra Bella | Woodman & Nordhoff,Chase Street | Nordhoff Street | Nordhoff Street | Nordhoff Street | Nordhoff Street,,Nordhoff Street | Roscoe Boulevard | Van Nuys Boulevard | Van Nuys Boulevard | Nordhoff Street
15059478,Mission Hills Neighborhood Council District,Mission Hills,34.2713002,-118.4529373,45,37,756,211,Brand & Hollister | Brand & Mott | San Fernando Mission & Mott | Mott & Workman | Huntington & Griffith,Rinaldi Street | Rinaldi Street | Laurel Canyon Boulevard | Woodman Avenue | Laurel Canyon Boulevard,,Golden State Freeway | Golden State Freeway | Golden State Freeway | Golden State Freeway | Golden State Freeway
15059522,Sylmar Neighborhood Council District,Sylmar,34.3083124,-118.4514186,41,37,151,75,Foothill / Bledsoe | Borden & Sayre | Borden & Astoria | Borden & Polk | Polk & Dronfield,Astoria Street | Polk Street | San Fernando Road Bike Path | Polk Street | Foothill Boulevard,Tyler Street | Tyler Street | Tyler Street | Astoria Street | Astoria Street,Foothill Freeway | Foothill Freeway | Foothill Freeway | Foothill Freeway | San Fernando Road
15339539,Van Nuys Neighborhood Council District,Van Nuys,34.1907345,-118.4505332,101,26,718,155,Van Nuys | Victory / Van Nuys (Metro 164) | Victory/Cedros | Van Nuys | Van Nuys,Alley 80777 | Van Nuys Boulevard | Van Nuys Boulevard | Van Nuys Boulevard | Van Nuys Boulevard,Erwin Street Mall,Victory Boulevard | Victory Boulevard | Victory Boulevard | Victory Boulevard | Victory Boulevard
15339540,Lake Balboa Neighborhood Council District,Lake Balboa,34.1912118,-118.4931452,73,73,659,140,Woodley | Balboa | Woodley | Balboa | Balboa,Metro G Line Bikeway | Balboa Boulevard | Victory Boulevard | Woodley Avenue | Hayvenhurst Avenue connector,Hayvenhurst Avenue,Sherman Way | Woodley Avenue | Woodley Avenue | Victory Boulevard | Sherman Way
15339541,Reseda,Reseda,34.2037901,-118.5404374,69,61,624,136,Reseda/Sherman | Sherman/Reseda | Reseda & Strathern (Southbound) | Reseda & Ingomar (Southbound) | Reseda & Saticoy (Southbound),Amigo Avenue | Valerio Bridge (Aliso Creek) | Hart Bridge (Aliso Creek) | Amigo Bridge | Reseda Boulevard,Hart Bridge (Aliso Creek) | Amigo Bridge | LAPD Officer James C. Beyea Memorial Walk | Aliso Creek (Vanowen Bridge) | Aliso Creek (Vanowen Bridge),Sherman Way | Sherman Way | Reseda Boulevard | Reseda Boulevard | Sherman Way
15339542,Northridge South Neighborhood Council District,Northridge South,34.2221591,-118.5336501,51,67,566,98,Reseda & Nordhoff | Nordhoff & Reseda | Roscoe/Lindley | Roscoe/Lindley | Northridge Metrolink Station,Roscoe Boulevard | Chase Bridge (Aliso Creek) | West University Drive | Reseda Boulevard | Reseda Boulevard,Arminta Bridge (Aliso Creek),Reseda Boulevard | Reseda Boulevard | Roscoe Boulevard | Roscoe Boulevard | Roscoe Boulevard
15339543,Northridge East Neighborhood Council District,Northridge East,34.2568239,-118.5105726,48,71,524,87,Zelzah / Chatsworth | Chatsworth/Zelzah | Balboa & Citronia | Balboa & Superior | Balboa & Lassen,White Oak Avenue | White Oak Avenue | White Oak Avenue | Louise Avenue | Louise Avenue,,Devonshire Street | Devonshire Street | Devonshire Street | Devonshire Street | Zelzah Avenue
