id,name,display_name,lat,lon,crime_count,crime_examples
15048390,North Hills East Neighborhood Council District,North Hills East,34.2326161,-118.4625011,1828,"VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT OF IDENTITY | BATTERY - SIMPLE ASSAULT | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
15048391,North Hills West Neighborhood Council District,North Hills West,34.2351485,-118.4857186,704,"VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD | THEFT OF IDENTITY"
15059477,Panorama City Neighborhood Council District,Panorama City,34.2286517,-118.4451755,1567,VEHICLE - STOLEN | SHOPLIFTING - PETTY THEFT ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT OF IDENTITY | BURGLARY FROM VEHICLE
15059478,Mission Hills Neighborhood Council District,Mission Hills,34.2713002,-118.4529373,395,VEHICLE - STOLEN | THEFT OF IDENTITY | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | THEFT PLAIN - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
15059522,Sylmar Neighborhood Council District,Sylmar,34.3083124,-118.4514186,564,"VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) | INTIMATE PARTNER - SIMPLE ASSAULT"
15339539,Van Nuys Neighborhood Council District,Van Nuys,34.1907345,-118.4505332,1712,"VEHICLE - STOLEN | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT OF IDENTITY | BATTERY - SIMPLE ASSAULT"
15339540,Lake Balboa Neighborhood Council District,Lake Balboa,34.1912118,-118.4931452,679,"VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | BURGLARY FROM VEHICLE | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
15339541,Reseda,Reseda,34.2037901,-118.5404374,1110,VEHICLE - STOLEN | SHOPLIFTING - PETTY THEFT ($950 & UNDER) | BATTERY - SIMPLE ASSAULT | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | BURGLARY FROM VEHICLE
15339542,Northridge South Neighborhood Council District,Northridge South,34.2221591,-118.5336501,782,VEHICLE - STOLEN | BATTERY - SIMPLE ASSAULT | THEFT OF IDENTITY | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
15339543,Northridge East Neighborhood Council District,Northridge East,34.2568239,-118.5105726,693,"VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | THEFT OF IDENTITY | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)"
